"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Pasadena","Pasadena","TX","Texas","48201","Harris","29.6575","-95.1498","152537","1348","shape","FALSE","TRUE","America/Chicago","2","77058 77059 77586 77506 77507 77504 77505 77502 77503","1840020930"
"Pomona","Pomona","CA","California","06037","Los Angeles","34.0585","-117.7626","151124","2538","shape","FALSE","TRUE","America/Los_Angeles","2","91768 91766 91767","1840020507"
"Escondido","Escondido","CA","California","06073","San Diego","33.1348","-117.0723","150396","1554","shape","FALSE","TRUE","America/Los_Angeles","2","92029 92025 92026 92027","1840020620"
"Mauldin","Mauldin","SC","South Carolina","45045","Greenville","34.7821","-82.3032","149687","842","shape","FALSE","TRUE","America/New_York","2","29662 29607 29681","1840015476"
"New Bedford","New Bedford","MA","Massachusetts","25005","Bristol","41.6697","-70.9428","149570","1840","shape","FALSE","TRUE","America/New_York","2","02740 02744 02745 02746","1840003219"
"Panama City","Panama City","FL","Florida","12005","Bay","30.1995","-85.6003","149366","395","shape","FALSE","TRUE","America/Chicago","2","32401 32404 32405","1840015034"
"Tuscaloosa","Tuscaloosa","AL","Alabama","01125","Tuscaloosa","33.2348","-87.5268","149302","627","shape","FALSE","TRUE","America/Chicago","2","35475 35476 35405 35404 35406 35401 35487","1840005563"
"Warner Robins","Warner Robins","GA","Georgia","13153","Houston","32.5961","-83.6527","148171","786","shape","FALSE","TRUE","America/New_York","2","31088 31005 31093","1840015800"
"Naperville","Naperville","IL","Illinois","17043","DuPage","41.7480","-88.1659","147734","1459","shape","FALSE","TRUE","America/Chicago","2","60540 60563 60564 60565","1840008143"
"Merced","Merced","CA","California","06047","Merced","37.3057","-120.4779","147690","1396","shape","FALSE","TRUE","America/Los_Angeles","2","95348 95340 95341","1840020313"
"Elkhart","Elkhart","IN","Indiana","18039","Elkhart","41.6916","-85.9627","147679","739","shape","FALSE","TRUE","America/Indiana/Indianapolis","2","46514 46517 46516","1840008187"
"Joliet","Joliet","IL","Illinois","17197","Will","41.5188","-88.1499","147323","881","shape","FALSE","TRUE","America/Chicago","2","60421 60586 60432 60433 60431 60436 60435","1840008192"
"Binghamton","Binghamton","NY","New York","36007","Broome","42.1014","-75.9093","146870","1651","shape","FALSE","TRUE","America/New_York","2","13904 13905 13901 13903","1840000460"
"Houma","Houma","LA","Louisiana","22109","Terrebonne","29.5800","-90.7059","146665","882","shape","FALSE","TRUE","America/Chicago","2","70363 70360","1840015063"
"Bellevue","Bellevue","WA","Washington","53033","King","47.5951","-122.1535","146145","1686","shape","FALSE","TRUE","America/Los_Angeles","2","98004 98005 98006 98007 98008","1840018417"
"Topeka","Topeka","KS","Kansas","20177","Shawnee","39.0346","-95.6955","145717","790","shape","FALSE","TRUE","America/Chicago","2","66621 66622 66609 66608 66607 66606 66605 66604 66603 66619 66611 66612 66614 66616","1840001621"
"Paterson","Paterson","NJ","New Jersey","34031","Passaic","40.9147","-74.1624","145484","6676","shape","FALSE","TRUE","America/New_York","2","07522 07524 07514 07513 07505 07501 07504 07503 07502","1840000838"
"Lake Charles","Lake Charles","LA","Louisiana","22019","Calcasieu","30.2010","-93.2111","145029","658","shape","FALSE","TRUE","America/Chicago","2","70605 70607 70601 70609 70615 70629","1840015039"
"Torrance","Torrance","CA","California","06037","Los Angeles","33.8346","-118.3416","144430","2717","shape","FALSE","TRUE","America/Los_Angeles","2","90277 90501 90503 90505 90504","1840021873"
